"symbol"	"prevSymbols"	"synonyms"	"name"	"refSeqName"
"1262"	"B2M"	""	""	"beta-2-microglobulin"	"B2M"
"1263"	"RPL10"	""	"NOV,QM,DXS648E,DXS648,FLJ23544,L10"	"ribosomal protein L10"	"RPL10"
"1264"	"RAP1B"	""	"K-REV,RAL1B,DKFZP586H0723"	"RAP1B, member of RAS oncogene family"	"RAP1B"
"1265"	"MAML2"	""	"KIAA1819,MAM3"	"mastermind like transcriptional coactivator 2"	"MAML2"
"1266"	"KPNA5"	""	"SRP6,IPOA6"	"karyopherin subunit alpha 5"	"KPNA5"
"1267"	"IL22RA1"	"IL22R"	"CRF2-9"	"interleukin 22 receptor subunit alpha 1"	"IL22RA1"
"1268"	"MLLT3"	""	"AF-9,AF9,YEATS3"	"MLLT3, super elongation complex subunit"	"MLLT3"
"1269"	"FGF10"	""	""	"fibroblast growth factor 10"	"FGF10"
"1270"	"RRM1"	""	""	"ribonucleotide reductase catalytic subunit M1"	"RRM1"
"1271"	"RMRP"	"CHH"	"RMRPR,RRP2,NME1"	"RNA component of mitochondrial RNA processing endoribonuclease"	"RMRP"
"1272"	"IL21R"	""	"CD360"	"interleukin 21 receptor"	"IL21R"
"1273"	"IFRD2"	""	"SKMC15,SM15,IFNRP"	"interferon related developmental regulator 2"	"IFRD2"
"1274"	"STK4"	""	"MST1,KRS2,YSK3"	"serine/threonine kinase 4"	"STK4"
"1275"	"MIRLET7G"	"MIRNLET7G"	"HSA-LET-7G"	"microRNA let-7g"	"MIRLET7G"
"1276"	"MAP2K4"	"SERK1"	"MEK4,JNKK1,PRKMK4,MKK4"	"mitogen-activated protein kinase kinase 4"	"MAP2K4"
"1277"	"HSP90B1"	"TRA1"	"GP96,GRP94"	"heat shock protein 90 beta family member 1"	"HSP90B1"
"1278"	"METAP2"	""	"MNPEP,P67,MAP2"	"methionyl aminopeptidase 2"	"METAP2"
"1279"	"PNMA1"	""	"MA1"	"PNMA family member 1"	"PNMA1"
"1280"	"SKIL"	""	"SNO,SNON,SNOA"	"SKI like proto-oncogene"	"SKIL"
"1281"	"ARNT"	""	"HIF-1BETA,BHLHE2"	"aryl hydrocarbon receptor nuclear translocator"	"ARNT"
"1282"	"ETV5"	""	"ERM"	"ETS variant 5"	"ETV5"
"1283"	"ASPSCR1"	""	"ASPS,ASPL,UBXD9,UBXN9,TUG"	"ASPSCR1, UBX domain containing tether for SLC2A4"	"ASPSCR1"
"1284"	"NAT2"	"AAC2"	""	"N-acetyltransferase 2"	"NAT2"
"1285"	"PPARG"	""	"PPARG1,PPARG2,NR1C3,PPARGAMMA"	"peroxisome proliferator activated receptor gamma"	"PPARG"
"1286"	"TLX3"	"HOX11L2"	"RNX"	"T cell leukemia homeobox 3"	"TLX3"
"1287"	"TRIM27"	"RFP"	"RNF76"	"tripartite motif containing 27"	"TRIM27"
"1288"	"PAFAH1B2"	""	""	"platelet activating factor acetylhydrolase 1b catalytic subunit 2"	"PAFAH1B2"
"1289"	"ACSL3"	"FACL3"	"ACS3,PRO2194"	"acyl-CoA synthetase long chain family member 3"	"ACSL3"
"1290"	"IGFBP5"	""	""	"insulin like growth factor binding protein 5"	"IGFBP5"
"1291"	"KAT5"	"HTATIP"	"TIP60,PLIP,CPLA2,HTATIP1,ESA1,ZC2HC5"	"lysine acetyltransferase 5"	"KAT5"
"1292"	"EIF3C"	"EIF3S8"	"EIF3-P110,EIF3C"	"eukaryotic translation initiation factor 3 subunit C"	"EIF3C"
"1293"	"SNAI1"	""	"SNA,SLUGH2,SNAH,SNAIL1,SNAIL"	"snail family transcriptional repressor 1"	"SNAI1"
"1294"	"CLIC4"	""	"DKFZP566G223,CLIC4L,P64H1,H1,HUH1"	"chloride intracellular channel 4"	"CLIC4"
"1295"	"CDC27"	"D0S1430E,D17S978E"	"APC3,ANAPC3,NUC2"	"cell division cycle 27"	"CDC27"
"1296"	"NSD2"	"WHSC1"	"MMSET,KMT3G"	"nuclear receptor binding SET domain protein 2"	"WHSC1"
"1297"	"ARID1B"	""	"KIAA1235,ELD/OSA1,P250R,BAF250B,DAN15,6A3-5"	"AT-rich interaction domain 1B"	"ARID1B"
"1298"	"VCAN"	"CSPG2"	"PG-M"	"versican"	"VCAN"
"1299"	"AKAP12"	""	"AKAP250,SSECKS"	"A-kinase anchoring protein 12"	"AKAP12"
"1300"	"RLF"	""	"ZNF292L,ZN-15L"	"rearranged L-myc fusion"	"RLF"
"1301"	"RSPH1"	"TSGA2"	"FLJ32753,RSP44,RSPH10A,CILD24"	"radial spoke head 1 homolog"	"RSPH1"
"1302"	"SLAMF6"	""	"KALI,NTBA,KALIB,LY108,SF2000,NTB-A,CD352"	"SLAM family member 6"	"SLAMF6"
"1303"	"THBS3"	""	""	"thrombospondin 3"	"THBS3"
"1304"	"TCL6"	""	"TCL6E1,TNG2,TNG1"	"T cell leukemia/lymphoma 6 (non-protein coding)"	"TCL6"
"1305"	"SYNPO2"	""	"MYOPODIN"	"synaptopodin 2"	"SYNPO2"
"1306"	"GPHN"	""	"KIAA1385"	"gephyrin"	"GPHN"
"1307"	"TNFSF13B"	"TNFSF20"	"BAFF,THANK,BLYS,TALL-1,TALL1,CD257"	"TNF superfamily member 13b"	"TNFSF13B"
"1308"	"MAPK10"	"PRKM10"	"JNK3,P493F12,P54BSAPK"	"mitogen-activated protein kinase 10"	"MAPK10"
"1309"	"MAMDC4"	""	"AEGP,DKFZP434M1411"	"MAM domain containing 4"	"MAMDC4"
"1310"	"IKZF1"	"ZNFN1A1"	"HIK-1,LYF-1,HS.54452,IKAROS,PPP1R92"	"IKAROS family zinc finger 1"	"IKZF1"
"1311"	"PTPN21"	""	"PTPD1,PTPRL10"	"protein tyrosine phosphatase, non-receptor type 21"	"PTPN21"
"1312"	"JDP2"	"JUNDM2"	""	"Jun dimerization protein 2"	"JDP2"
"1313"	"WNT6"	""	""	"Wnt family member 6"	"WNT6"
"1314"	"EDRF1"	"C10ORF137"	"DKFZP586F1019,FLJ21617"	"erythroid differentiation regulatory factor 1"	"EDRF1"
"1315"	"LHFPL6"	"LHFP"	"MGC22429"	"LHFPL tetraspan subfamily member 6"	"LHFP"
"1316"	"GPA33"	""	"A33"	"glycoprotein A33"	"GPA33"
"1317"	"RHOC"	"ARH9,ARHC"	"RHOC"	"ras homolog family member C"	"RHOC"
"1318"	"RALB"	""	""	"RAS like proto-oncogene B"	"RALB"
"1319"	"RRAS2"	""	"TC21"	"RAS related 2"	"RRAS2"
"1320"	"SEPT5"	"PNUTL1"	"HCDCREL-1,H5"	"septin 5"	"SEPT5"
"1321"	"TNFRSF11B"	"OPG"	"OCIF,TR1"	"TNF receptor superfamily member 11b"	"TNFRSF11B"
"1322"	"KRT26"	"KRT25B"	""	"keratin 26"	"KRT26"
"1323"	"IGFBP2"	"IBP2"	""	"insulin like growth factor binding protein 2"	"IGFBP2"
"1324"	"ME3"	""	""	"malic enzyme 3"	"ME3"
"1325"	"MIF"	"GLIF"	"GIF"	"macrophage migration inhibitory factor"	"MIF"
"1326"	"KIF14"	""	"KIAA0042"	"kinesin family member 14"	"KIF14"
"1327"	"PBX2"	""	"G17,HOX12,PBX2MHC"	"PBX homeobox 2"	"PBX2"
"1328"	"BMI1"	"PCGF4"	"RNF51"	"BMI1 proto-oncogene, polycomb ring finger"	"BMI1"
"1329"	"PMS1"	"PMSL1"	"MLH2"	"PMS1 homolog 1, mismatch repair system component"	"PMS1"
"1330"	"TCL1B"	""	"TML1"	"T cell leukemia/lymphoma 1B"	"TCL1B"
"1331"	"IL17RB"	"IL17BR"	"IL17RH1,EVI27,CRL4"	"interleukin 17 receptor B"	"IL17RB"
"1332"	"CNBP"	"DM2,ZNF9"	"RNF163,ZCCHC22,CNBP1"	"CCHC-type zinc finger nucleic acid binding protein"	"CNBP"
"1333"	"GGH"	""	""	"gamma-glutamyl hydrolase"	"GGH"
"1334"	"FGFR2"	"KGFR,BEK,CFD1,JWS"	"CEK3,TK14,TK25,ECT1,K-SAM,CD332"	"fibroblast growth factor receptor 2"	"FGFR2"
"1335"	"NCAPD2"	""	"CNAP1,HCAP-D2,CAP-D2,KIAA0159"	"non-SMC condensin I complex subunit D2"	"NCAPD2"
"1336"	"MYB"	""	"C-MYB"	"MYB proto-oncogene, transcription factor"	"MYB"
"1337"	"PDX1"	"IPF1"	"IDX-1,STF-1,PDX-1,MODY4"	"pancreatic and duodenal homeobox 1"	"PDX1"
"1338"	"ZBTB33"	""	"ZNF-KAISO,KAISO,WUGSC:H_DJ525N14.1,ZNF348"	"zinc finger and BTB domain containing 33"	"ZBTB33"
"1339"	"ZMYM2"	"ZNF198"	"RAMP,FIM,MYM"	"zinc finger MYM-type containing 2"	"ZMYM2"
"1340"	"MTUS1"	""	"MTSG1,KIAA1288,DKFZP586D1519,FLJ14295,ATIP1,MP44,ATBP,ICIS,ATIP3"	"microtubule associated scaffold protein 1"	"MTUS1"
"1341"	"KIT"	"PBT"	"CD117,SCFR,C-KIT"	"KIT proto-oncogene receptor tyrosine kinase"	"KIT"
"1342"	"ARF6"	""	""	"ADP ribosylation factor 6"	"ARF6"
"1343"	"STAT6"	""	"D12S1644,IL-4-STAT"	"signal transducer and activator of transcription 6"	"STAT6"
"1344"	"KLF5"	"BTEB2"	"IKLF,CKLF"	"Kruppel like factor 5"	"KLF5"
"1345"	"PHIP"	"WDR11"	"NDRP,FLJ20705,DCAF14,BRWD2"	"pleckstrin homology domain interacting protein"	"PHIP"
"1346"	"MIB2"	"ZZANK1"	"SKELETROPHIN,ZZZ5,FLJ39787"	"mindbomb E3 ubiquitin protein ligase 2"	"MIB2"
"1347"	"SELE"	"ELAM1,ELAM"	"ESEL,CD62E"	"selectin E"	"SELE"
"1348"	"RHBDF2"	"RHBDL6,TOC"	"FLJ22341,RHBDL5,TOCG,IRHOM2"	"rhomboid 5 homolog 2"	"RHBDF2"
"1349"	"DIRC2"	""	"FLJ14784,RCC4"	"disrupted in renal carcinoma 2"	"DIRC2"
"1350"	"THPO"	"MGDF"	"TPO,MPLLG"	"thrombopoietin"	"THPO"
"1351"	"E2F4"	""	"E2F-4"	"E2F transcription factor 4"	"E2F4"
"1352"	"ZNF668"	""	"FLJ13479"	"zinc finger protein 668"	"ZNF668"
"1353"	"CBX4"	""	"HPC2,PC2,NBP16"	"chromobox 4"	"CBX4"
"1354"	"GOPC"	""	"DJ94G16.2,PIST,FIG,GOPC1,CAL"	"golgi associated PDZ and coiled-coil motif containing"	"GOPC"
"1355"	"ZFYVE26"	"SPG15"	"KIAA0321"	"zinc finger FYVE-type containing 26"	"ZFYVE26"
"1356"	"ZFP36"	""	"RNF162A,TIS11,G0S24,TTP,NUP475"	"ZFP36 ring finger protein"	"ZFP36"
"1357"	"RBL2"	""	"RB2,P130"	"RB transcriptional corepressor like 2"	"RBL2"
"1358"	"AKT2"	""	""	"AKT serine/threonine kinase 2"	"AKT2"
"1359"	"CDK1"	"CDC2"	"CDC28A"	"cyclin dependent kinase 1"	"CDK1"
"1360"	"NKAIN2"	"TCBA1"	"FAM77B"	"sodium/potassium transporting ATPase interacting 2"	"NKAIN2"
"1361"	"NAT1"	"AAC1"	""	"N-acetyltransferase 1"	"NAT1"
"1362"	"SLC16A3"	""	"MCT3,MCT4"	"solute carrier family 16 member 3"	"SLC16A3"
"1363"	"SMARCA4"	"SNF2L4"	"HSNF2B,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	"SMARCA4"
"1364"	"CORO1A"	""	"HCORO1,P57,CORONIN-1"	"coronin 1A"	"CORO1A"
"1365"	"RRP9"	"RNU3IP2"	"U3-55K"	"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"	"RRP9"
"1366"	"PTTG1IP"	"C21ORF3,C21ORF1"	"PBF"	"PTTG1 interacting protein"	"PTTG1IP"
"1367"	"FLT1"	"FLT"	"VEGFR1"	"fms related tyrosine kinase 1"	"FLT1"
"1368"	"RTN4"	""	"NSP-CL,KIAA0886,NOGO,ASY"	"reticulon 4"	"RTN4"
"1369"	"KTN1"	""	"KIAA0004,CG1,KNT"	"kinectin 1"	"KTN1"
"1370"	"CASP9"	""	"MCH6,ICE-LAP6,APAF-3,PPP1R56"	"caspase 9"	"CASP9"
"1371"	"SNAI2"	"SLUG"	"SLUGH1,SNAIL2,SLUGH"	"snail family transcriptional repressor 2"	"SNAI2"
"1372"	"MAP3K1"	"MEKK1"	"MEKK,MAPKKK1"	"mitogen-activated protein kinase kinase kinase 1"	"MAP3K1"
"1373"	"IL1B"	""	"IL1F2,IL-1B,IL1-BETA"	"interleukin 1 beta"	"IL1B"
"1374"	"COX19"	""	"MGC104475"	"COX19, cytochrome c oxidase assembly factor"	"COX19"
"1375"	"CAPG"	"AFCP"	"MCP"	"capping actin protein, gelsolin like"	"CAPG"
"1376"	"GLI3"	"GCPS,PHS"	"PAP-A,PAPA,PAPA1,PAPB,ACLS,PPDIV"	"GLI family zinc finger 3"	"GLI3"
"1377"	"GLB1"	"ELNR1"	"EBP"	"galactosidase beta 1"	"GLB1"
"1378"	"PECAM1"	""	"CD31"	"platelet and endothelial cell adhesion molecule 1"	"PECAM1"
"1379"	"CDC25B"	""	""	"cell division cycle 25B"	"CDC25B"
"1380"	"CCDC6"	"TST1,D10S170"	"PTC,TPC,H4"	"coiled-coil domain containing 6"	"CCDC6"
"1381"	"ESRRG"	""	"NR3B3,ERRG,ERR-GAMMA"	"estrogen related receptor gamma"	"ESRRG"
"1382"	"KIAA1147"	""	"LCHN"	"KIAA1147"	"KIAA1147"
"1383"	"MUC17"	""	""	"mucin 17, cell surface associated"	"MUC17"
"1384"	"IL6ST"	""	"GP130,CD130"	"interleukin 6 signal transducer"	"IL6ST"
"1385"	"CBFA2T3"	""	"MTGR2,ZMYND4,MTG16,RUNX1T3,ETO2"	"CBFA2/RUNX1 translocation partner 3"	"CBFA2T3"
"1386"	"MAP3K6"	""	"MAPKKK6,ASK2,MEKK6"	"mitogen-activated protein kinase kinase kinase 6"	"MAP3K6"
"1387"	"GFI1"	"ZNF163"	"GFI1A,GFI-1"	"growth factor independent 1 transcriptional repressor"	"GFI1"
"1388"	"AIFM1"	"PDCD8,NAMSD"	"AIF,CMTX4"	"apoptosis inducing factor mitochondria associated 1"	"AIFM1"
"1389"	"TACC3"	""	"ERIC1"	"transforming acidic coiled-coil containing protein 3"	"TACC3"
"1390"	"PROS1"	"PROS"	""	"protein S"	"PROS1"
"1391"	"CDKN2A"	"CDKN2,MLM"	"CDK4I,P16,INK4A,MTS1,CMM2,ARF,P19,P14,INK4,P16INK4A,P19ARF,P14ARF"	"cyclin dependent kinase inhibitor 2A"	"CDKN2A"
"1392"	"TNFRSF8"	"CD30,D1S166E"	"KI-1"	"TNF receptor superfamily member 8"	"TNFRSF8"
"1393"	"PHF20"	"C20ORF104"	"DJ1121G12.1,TDRD20A"	"PHD finger protein 20"	"PHF20"
"1394"	"PSAP"	"SAP1,GLBA"	""	"prosaposin"	"PSAP"
"1395"	"EGFL6"	"MAEG"	""	"EGF like domain multiple 6"	"EGFL6"
"1396"	"SLC38A1"	""	"ATA1,NAT2,SAT1"	"solute carrier family 38 member 1"	"SLC38A1"
"1397"	"PUS10"	"CCDC139"	"FLJ32312"	"pseudouridylate synthase 10"	"PUS10"
"1398"	"BRD2"	"BRD2-IT1"	"KIAA9001,RING3,D6S113E,NAT,FSRG1"	"bromodomain containing 2"	"BRD2"
"1399"	"TFAP2A"	"TFAP2,AP2TF"	"AP-2"	"transcription factor AP-2 alpha"	"TFAP2A"
"1400"	"ZC3H8"	"ZC3HDC8"	"FLIZ1"	"zinc finger CCCH-type containing 8"	"ZC3H8"
"1401"	"TRIO"	""	"ARHGEF23"	"trio Rho guanine nucleotide exchange factor"	"TRIO"
"1402"	"MIXL1"	""	"MILD1,MIXL"	"Mix paired-like homeobox"	"MIXL1"
"1403"	"NSD1"	"STO"	"ARA267,FLJ22263,KMT3B"	"nuclear receptor binding SET domain protein 1"	"NSD1"
"1404"	"ELF4"	""	"MEF,ELFR"	"E74 like ETS transcription factor 4"	"ELF4"
"1405"	"ANKRD44"	""	"PP6-ARS-B"	"ankyrin repeat domain 44"	"ANKRD44"
"1406"	"EIF1B"	""	"GC20"	"eukaryotic translation initiation factor 1B"	"EIF1B"
"1407"	"MAD2L1"	""	"MAD2,HSMAD2"	"mitotic arrest deficient 2 like 1"	"MAD2L1"
"1408"	"RAB8A"	"MEL"	"RAB8"	"RAB8A, member RAS oncogene family"	"RAB8A"
"1409"	"HTRA1"	"PRSS11"	"HTRA,IGFBP5-PROTEASE,ARMD7"	"HtrA serine peptidase 1"	"HTRA1"
"1410"	"INHBE"	""	"ACTIVIN,MGC4638"	"inhibin subunit beta E"	"INHBE"
"1411"	"ADD3"	"ADDL"	""	"adducin 3"	"ADD3"
"1412"	"CEBPB"	"TCF5"	"LAP,CRP2,NFIL6,IL6DBP,C/EBP-BETA"	"CCAAT enhancer binding protein beta"	"CEBPB"
"1413"	"ITGB4"	""	"CD104"	"integrin subunit beta 4"	"ITGB4"
"1414"	"EIF3I"	"EIF3S2"	"TRIP-1,EIF3-BETA,EIF3-P36,EIF3I"	"eukaryotic translation initiation factor 3 subunit I"	"EIF3I"
"1415"	"NDRG2"	""	"KIAA1248,SYLD"	"NDRG family member 2"	"NDRG2"
"1416"	"AFF4"	""	"AF5Q31,MCEF"	"AF4/FMR2 family member 4"	"AFF4"
"1417"	"VAMP8"	""	"EDB"	"vesicle associated membrane protein 8"	"VAMP8"
"1418"	"CD79A"	"IGA"	"MB-1"	"CD79a molecule"	"CD79A"
"1419"	"MEF2B"	""	"RSRFR2"	"myocyte enhancer factor 2B"	"MEF2B"
"1420"	"EIF4G1"	"EIF4G,EIF4F"	"P220,PARK18"	"eukaryotic translation initiation factor 4 gamma 1"	"EIF4G1"
"1421"	"ARID4A"	"RBBP1"	"RBP1,RBP-1"	"AT-rich interaction domain 4A"	"ARID4A"
"1422"	"HTATIP2"	""	"TIP30,CC3,FLJ26963,SDR44U1"	"HIV-1 Tat interactive protein 2"	"HTATIP2"
"1423"	"MLLT1"	""	"ENL,LTG19,YEATS1"	"MLLT1, super elongation complex subunit"	"MLLT1"
"1424"	"RHOBTB1"	""	"KIAA0740"	"Rho related BTB domain containing 1"	"RHOBTB1"
"1425"	"TOP2A"	"TOP2"	""	"DNA topoisomerase II alpha"	"TOP2A"
"1426"	"PTPRD"	""	"PTPD,HPTP"	"protein tyrosine phosphatase, receptor type D"	"PTPRD"
"1427"	"UQCRC2"	""	"QCR2,UQCR2"	"ubiquinol-cytochrome c reductase core protein 2"	"UQCRC2"
"1428"	"DOPEY2"	"C21ORF5"	"KIAA0933"	"dopey family member 2"	"DOPEY2"
"1429"	"FGF1"	"FGFA"	"AFGF,ECGF,ECGFA,ECGFB,HBGF1,ECGF-BETA,FGF-ALPHA,GLIO703"	"fibroblast growth factor 1"	"FGF1"
"1430"	"GPR68"	""	"OGR1"	"G protein-coupled receptor 68"	"GPR68"
"1431"	"ST6GALNAC1"	"SIAT7A"	"ST6GALNACI"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"	"ST6GALNAC1"
"1432"	"HMGCR"	""	""	"3-hydroxy-3-methylglutaryl-CoA reductase"	"HMGCR"
"1433"	"ZBTB16"	"ZNF145"	"PLZF"	"zinc finger and BTB domain containing 16"	"ZBTB16"
"1434"	"COTL1"	""	"CLP"	"coactosin like F-actin binding protein 1"	"COTL1"
"1435"	"BRD4"	""	"HUNKI,MCAP,CAP,HUNK1"	"bromodomain containing 4"	"BRD4"
"1436"	"MMP2"	"CLG4,CLG4A"	"TBE-1"	"matrix metallopeptidase 2"	"MMP2"
"1437"	"CRB2"	""	"FLJ38464,FLJ16786"	"crumbs 2, cell polarity complex component"	"CRB2"
"1438"	"TRG"	"TCRG,TRG@"	""	"T cell receptor gamma locus"	NA
"1439"	"ASTN2"	""	"KIAA0634"	"astrotactin 2"	"ASTN2"
"1440"	"KEAP1"	""	"KIAA0132,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,INRF2,KLHL19"	"kelch like ECH associated protein 1"	"KEAP1"
"1441"	"TIMP2"	""	"CSC-21K"	"TIMP metallopeptidase inhibitor 2"	"TIMP2"
"1442"	"PYY"	""	"PYY1"	"peptide YY"	"PYY"
"1443"	"ERBB4"	""	"ALS19,HER4"	"erb-b2 receptor tyrosine kinase 4"	"ERBB4"
"1444"	"USP24"	""	"KIAA1057"	"ubiquitin specific peptidase 24"	"USP24"
"1445"	"SH3BP2"	""	"RES4-23,CRBM"	"SH3 domain binding protein 2"	"SH3BP2"
"1446"	"GSK3B"	""	""	"glycogen synthase kinase 3 beta"	"GSK3B"
"1447"	"RHOH"	"ARHH"	"RHOH,TTF"	"ras homolog family member H"	"RHOH"
"1448"	"RECQL5"	""	"RECQ5,FLJ90603"	"RecQ like helicase 5"	"RECQL5"
"1449"	"NCOR1"	""	"N-COR,HCIT529I10,TRAC1,HN-COR,KIAA1047,MGC104216,PPP1R109"	"nuclear receptor corepressor 1"	"NCOR1"
"1450"	"RUVBL1"	""	"TIP49,NMP238,RVB1,TIP49A,PONTIN52,ECP54,TIH1,INO80H"	"RuvB like AAA ATPase 1"	"RUVBL1"
"1451"	"LRRFIP1"	""	"FLAP-1,FLIIAP1,TRIP,GCF-2,HUFI-1"	"LRR binding FLII interacting protein 1"	"LRRFIP1"
"1452"	"DKK1"	""	"SK,DKK-1"	"dickkopf WNT signaling pathway inhibitor 1"	"DKK1"
"1453"	"SF3B1"	""	"SAP155,SF3B155,PRPF10,PRP10,HSH155"	"splicing factor 3b subunit 1"	"SF3B1"
"1454"	"NOTCH4"	"INT3"	""	"notch 4"	"NOTCH4"
"1455"	"SSX2"	"SSX"	"HOM-MEL-40,HD21,MGC3884,MGC15364,MGC119055,CT5.2A"	"SSX family member 2"	"SSX2"
"1456"	"FANCE"	"FACE"	"FAE"	"Fanconi anemia complementation group E"	"FANCE"
"1457"	"MAFB"	"KRML"	""	"MAF bZIP transcription factor B"	"MAFB"
"1458"	"PAWR"	""	"PAR-4,PAR4"	"pro-apoptotic WT1 regulator"	"PAWR"
"1459"	"RAD51D"	"RAD51L3"	"R51H3,TRAD,HSTRAD"	"RAD51 paralog D"	"RAD51D"
"1460"	"MCC"	""	""	"mutated in colorectal cancers"	"MCC"
"1461"	"BAX"	""	"BCL2L4"	"BCL2 associated X, apoptosis regulator"	"BAX"
"1462"	"CSF1R"	"FMS"	"C-FMS,CSFR,CD115"	"colony stimulating factor 1 receptor"	"CSF1R"
"1463"	"LTA"	"TNFB"	"TNFSF1,LT"	"lymphotoxin alpha"	"LTA"
"1464"	"NEU3"	""	""	"neuraminidase 3"	"NEU3"
"1465"	"XRCC6"	"G22P1"	"D22S731,D22S671,KU70,ML8"	"X-ray repair cross complementing 6"	"XRCC6"
"1466"	"ACAP1"	"CENTB1"	"KIAA0050"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"ACAP1"
"1467"	"MET"	""	"HGFR,RCCP2,DFNB97"	"MET proto-oncogene, receptor tyrosine kinase"	"MET"
"1468"	"SYDE1"	""	"7H3,FLJ13511,SYD1"	"synapse defective Rho GTPase homolog 1"	"SYDE1"
"1469"	"GGTA1P"	"GLYT2,GGTA,GGTA1"	""	"glycoprotein, alpha-galactosyltransferase 1 pseudogene"	"GGTA1P"
"1470"	"TNR"	""	""	"tenascin R"	"TNR"
"1471"	"WNT3"	"INT4"	"MGC131950,MGC138321,MGC138323"	"Wnt family member 3"	"WNT3"
"1472"	"COL16A1"	""	""	"collagen type XVI alpha 1 chain"	"COL16A1"
"1473"	"TGFBR2"	"MFS2"	"TBRII,TBR-II"	"transforming growth factor beta receptor 2"	"TGFBR2"
"1474"	"LOXL4"	""	"FLJ21889,LOXC"	"lysyl oxidase like 4"	"LOXL4"
"1475"	"PARVB"	""	"CGI-56"	"parvin beta"	"PARVB"
"1476"	"CXCL3"	"GRO3"	"SCYB3,GROG,MIP-2B,CINC-2B"	"C-X-C motif chemokine ligand 3"	"CXCL3"
"1477"	"RASGRP1"	""	"CALDAG-GEFII,RASGRP"	"RAS guanyl releasing protein 1"	"RASGRP1"
"1478"	"CNNM4"	"ACDP4"	"KIAA1592"	"cyclin and CBS domain divalent metal cation transport mediator 4"	"CNNM4"
"1479"	"MAS1"	""	""	"MAS1 proto-oncogene, G protein-coupled receptor"	"MAS1"
"1480"	"EGLN1"	"C1ORF12"	"SM-20,PHD2,ZMYND6,HIFPH2"	"egl-9 family hypoxia inducible factor 1"	"EGLN1"
"1481"	"BOP1"	""	"KIAA0124"	"block of proliferation 1"	"BOP1"
"1482"	"HAPLN1"	"CRTL1"	""	"hyaluronan and proteoglycan link protein 1"	"HAPLN1"
"1483"	"ADAMTS1"	""	"C3-C5,METH1,KIAA1346"	"ADAM metallopeptidase with thrombospondin type 1 motif 1"	"ADAMTS1"
"1484"	"JUNB"	""	""	"JunB proto-oncogene, AP-1 transcription factor subunit"	"JUNB"
"1485"	"DIP2C"	"KIAA0934"	""	"disco interacting protein 2 homolog C"	"DIP2C"
"1486"	"MANF"	"ARMET"	"ARP"	"mesencephalic astrocyte derived neurotrophic factor"	"MANF"
"1487"	"E2F6"	""	"E2F-6"	"E2F transcription factor 6"	"E2F6"
"1488"	"NCK1"	"NCK"	"NCKALPHA"	"NCK adaptor protein 1"	"NCK1"
"1489"	"IL2RB"	"IL15RB"	"CD122"	"interleukin 2 receptor subunit beta"	"IL2RB"
"1490"	"TSPAN1"	""	"TSPAN-1,NET-1"	"tetraspanin 1"	"TSPAN1"
"1491"	"GDF15"	""	"PLAB,MIC-1,PDF,MIC1,NAG-1,PTGFB"	"growth differentiation factor 15"	"GDF15"
"1492"	"CDKN1B"	""	"KIP1,P27KIP1"	"cyclin dependent kinase inhibitor 1B"	"CDKN1B"
"1493"	"PIK3CD"	""	"P110D"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	"PIK3CD"
"1494"	"DAPK1"	""	"DAPK,ROCO3"	"death associated protein kinase 1"	"DAPK1"
"1495"	"EPOR"	""	""	"erythropoietin receptor"	"EPOR"
"1496"	"TFRC"	""	"CD71,TFR1,P90"	"transferrin receptor"	"TFRC"
"1497"	"DDIT3"	""	"CHOP10,GADD153,CHOP"	"DNA damage inducible transcript 3"	"DDIT3"
"1498"	"ELK3"	""	"ERP,NET,SAP2"	"ELK3, ETS transcription factor"	"ELK3"
"1499"	"CDK5"	""	"PSSALRE"	"cyclin dependent kinase 5"	"CDK5"
"1500"	"MITF"	"WS2A,WS2"	"MI,BHLHE32"	"melanogenesis associated transcription factor"	"MITF"
"1501"	"MYC"	""	"C-MYC,BHLHE39,MYCC"	"MYC proto-oncogene, bHLH transcription factor"	"MYC"
"1502"	"SRSF3"	"SFRS3"	"SRP20"	"serine and arginine rich splicing factor 3"	"SRSF3"
"1503"	"SLC5A8"	""	"AIT"	"solute carrier family 5 member 8"	"SLC5A8"
"1504"	"BCL3"	"D19S37,BCL4"	""	"B cell CLL/lymphoma 3"	"BCL3"
"1505"	"CD274"	"PDCD1LG1"	"B7-H,B7H1,PD-L1,PDL1,B7-H1"	"CD274 molecule"	"CD274"
"1506"	"LRBA"	"CDC4L"	"BGL,LAB300,LBA"	"LPS responsive beige-like anchor protein"	"LRBA"
"1507"	"YWHAE"	""	"FLJ45465"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon"	"YWHAE"
"1508"	"CCNH"	""	"P34,P37,CYCH"	"cyclin H"	"CCNH"
"1509"	"LMO1"	"RBTN1"	"TTG1,RHOM1"	"LIM domain only 1"	"LMO1"
